LOCATION,NAME
7,Wormerveer
9,Dokkum - Dongeradeel
11,Amsterdam - Port Entrepot
15,Leidschendam
21,_Demo - Aanuit.net
22,_Demo - CallBill
27,Breda
29,[stopped] Weert
31,Maastricht
33,Daarlerveen
35,Maassluis
37,Giethoorn
39,Vlaardingen
41,Drachten
43,Arnhem
45,Amstelveen
47,Zutphen - Camperplaats
49,Termunterzijl
53,Voorburg - Sionsstraat 89
55,Beverwijk
57,Purmerend
59,Maastricht - Tongerseweg 57
61,Elburg
63,Rottevalle
67,Vaals - Sneeuwberglaan
69,_Maastricht - Grote Gracht 85
71,Leeuwarden - Tesselschadestraat 7-19B
73,Noordpolderzijl
77,Landgraaf
79,Venlo - Spoorstraat 61
81,Dieverbrug
83,Schiedam (aanuit.net)
85,s-Hertogenbosch - Schaarhuispad
87,Amersfoort
89,Bodegraven
91,Den Haag - Gemeentehavens
97,Maarssen - Stichtse Vecht
99,Amsterdam - E-Harbour
101,[stopped] Nijmegen - StuWorld
103,Yerseke
105,Oud-Zuilen - Stichtse Vecht
107,Breukelen - Stichtse Vecht
109,Nigtevecht - Stichtse Vecht
111,Vreeland - Stichtse Vecht
113,Landerd
115,Eindhoven - Kronehoefstraat 5
118,[stopped] Amsterdam - StuWorld
1004,Camperplaats Rijnkade
1005,Camperplaats
1007,Haven
1009,Port Entrepot
1015,Passantensteiger Leidsekade
1017,Recreatievakbeurs - Seijsener
1019,Van Nelle Fabriek
1021,Involtum AanUit.net 2
1023,Seijsener
1025,YoreOn
1027,Prinsenkade Noord
1031,Passantenhaven Weert
1033,Camperplaats Maastricht Papillon
1035,Passantenhaven 2
1037,Haven Geerkade West
1039,Kanaal Beukers-Steenwijk
1041,Westhavenkade (noordsteiger)
1043,Jachthaven
1045,Park Angerenstein
1047,Amstelzijde
1049,Prinsenkade Haven
1051,Passantensteiger Kerkstraat
1053,Houtwal
1055,Westhavenkade (zuidsteiger)
1057,Camperplaats bij Café Restaurant 'Jachthaven'
1061,Passantensteiger Delftsekade
1063,Moleneind
1065,Kop van de Haven
1067,Dokkumer Nieuwe Zijlen
1071,Wasserette - oud
1073,Kanaalkade
1075,Kanaalschans
1077,Carré Studios - Wasserette
1079,Jachthaven Elburg
1081,Camperplaats
1083,Katzensprung - Wasserette
1085,Dormin - Wasserette
1087,De Block (oud)
1089,Café 't Zielhoes
1093,Camperplaats Landgraaf
1095,The Safe - Wasserette
1097,Passantenhaven Dieverbrug
1099,Florijnhaven
1101,Zayaz - Wasserette Ordune
1103,Workumstraat
1105,Markenhaven
1107,Durgerdamhaven
1109,Rijnkade
1111,Fokkerhaven
1113,Involtum Wasserette
1115,E-Harbour
1119,Vechtenstein West
1121,Vechtenstein Oost
1123,Dorpsstraat
1125,Vechtzijde
1127,Bolenstein
1129,Doornburgh met stroom
1131,Doornburgh zonder stroom
1133,Goudestein
1135,Gunterstein
1137,Loswal
1139,Loswal met stroom
1141,Vreeland
1143,Pont
1145,Xior - De Block
1147,Genestetlaan
1151,Camperplaats Yerseke
1153,Camperplaats Zeeland
1155,deelboot
1157,Xior - The Spot
1159,The Bank - Wasserette
1161,The Wall - Wasserette
1163,Poolsterhaven
1164,Naritaweg 139-147
1165,Barajasweg 60-66
1166,Naritaweg 151-157
2007,Zuil 2600 Stroom
